Position,Const,Created,Modified,Description,Name,Known For,Birth Date
374,nm1126657,2024-01-08,2024-01-08,"9482 points","George MacKay","1917","13 марта 1992 г."
375,nm0704270,2024-01-08,2024-01-08,"9378 points","Zachary Quinto","Star Trek","2 июня 1977 г."
376,nm0051509,2024-01-08,2024-01-08,"9378 points","Eric Bana","Dirty John","9 августа 1968 г."
377,nm0339304,2024-01-08,2024-01-08,"9378 points","Bruce Greenwood","Star Trek","12 августа 1956 г."
378,nm0001715,2024-01-08,2024-01-08,"9330 points","George C. Scott","Patton","18 октября 1927 г."
379,nm1310525,2024-01-08,2024-01-08,"9321 points","Lee Sun-kyun","Gisaengchung","2 марта 1975 г."
380,nm0001072,2024-01-08,2024-01-08,"9298 points","Joseph Cotten","The Third Man","15 мая 1905 г."
381,nm0001536,2024-01-08,2024-01-08,"9248 points","Toshirô Mifune","Yôjinbô","1 апреля 1920 г."
382,nm0001162,2024-01-08,2024-01-08,"9219 points","Griffin Dunne","After Hours","8 июня 1955 г."
383,nm0000654,2024-01-08,2024-01-29,"9171 points","Terence Stamp","The Limey","22 июля 1938 г."
384,nm0000551,2024-01-08,2024-01-08,"9028 points","Dermot Mulroney","My Best Friend's Wedding","31 октября 1963 г."
385,nm1093951,2024-01-08,2024-03-08,"9007 points","Aaron Taylor-Johnson","Kick-Ass","13 июня 1990 г."
386,nm3772243,2024-01-08,2024-01-08,"8944 points","Theo James","Divergent","16 декабря 1984 г."
387,nm5052065,2024-01-08,2024-01-08,"8944 points","Ansel Elgort","The Fault in Our Stars","14 марта 1994 г."
388,nm0530365,2024-01-08,2024-01-08,"8878 points","Sergi López","El laberinto del fauno","22 декабря 1965 г."
389,nm0000032,2024-01-08,2024-01-08,"8843 points","Charlton Heston","Ben-Hur","4 октября 1923 г."
390,nm0371660,2024-01-08,2024-01-08,"8727 points","Dennis Haysbert","Far from Heaven","2 июня 1954 г."
391,nm0000257,2024-01-08,2024-01-08,"8699 points","Alan Alda","M*A*S*H","28 января 1936 г."
392,nm0451234,2024-01-08,2024-01-08,"8633 points","Irrfan Khan","The Lunchbox","7 января 1967 г."
393,nm0001667,2024-01-08,2024-01-12,"8581 points","Jonathan Rhys Meyers","Den 12. mann","27 июля 1977 г."
394,nm0000225,2024-01-08,2024-01-08,"8507 points","Christian Slater","True Romance","18 августа 1969 г."
